ランドマーク名,緯度,経度,発話範囲（半径ｍ）,該当範囲（半径ｍ）,クーポン取得範囲（半径m）
歌舞伎町中心,35.694798,139.702794,400,0,0
新宿駅,35.689619,139.700456,600,0,0
渋谷109,35.659597,139.698783,400,0,0
銀座駅,35.671752,139.764308,400,0,0
東京駅,35.681167,139.767052,600,0,0
築地市場,35.662997,139.770126,400,0,0
北区中心,35.770593,139.722533,1000,0,0
江戸川区中心,35.697569,139.879388,2000,0,0
池袋駅,35.729503,139.7109,600,0,0
東京タワー,35.658581,139.745433,400,0,0
スカイツリー,35.710063,139.8107,600,0,0
浅草の金のオブジェのとこ,35.710176,139.800531,600,0,0
赤坂サカス,35.672326,139.735585,400,0,0
池袋サンシャイン,35.729356,139.719142,500,0,0
町田市中心,35.572605,139.44221,2000,0,0
青山一丁目駅,35.672857,139.723844,400,0,0
銀座駅,35.671752,139.764308,400,0,0
築地市場,35.662997,139.770126,400,0,0
舞浜,35.636135,139.883696,600,0,0
東京ドーム,35.70564,139.751891,400,0,0
国技館,35.696976,139.793286,400,0,0
皇居,35.685175,139.7528,800,0,0
上野動物園,35.716454,139.771318,800,0,0
新橋駅,35.666456,139.75829,600,0,0
草加駅,35.828468,139.803599,1000,0,0
上野駅,35.714167,139.777409,800,0,0
根津駅,35.717346,139.765737,600,0,0
文京区中心,35.708068,139.752167,600,0,0
赤坂駅,35.672212,139.73638,600,0,0
羽田空港,35.549393,139.779839,4000,0,0
東京都庁,35.689913,139.692562,600,0,0
歌舞伎座,35.669418,139.767737,400,0,0
四ツ谷駅,35.686153,139.730218,400,0,0
NHKホール,35.666553,139.696979,400,0,0
大井競馬場,35.593707,139.744807,600,0,0
横浜駅,35.465786,139.622313,800,0,0
恵比寿駅,35.646733,139.710107,400,0,0
葛飾柴又駅,35.756708,139.875498,400,0,0
羽田空港,35.549393,139.779839,4000,0,0
レインボーブリッジ,35.636564,139.763144,1000,0,0
高尾山,35.62514,139.243657,3000,0,0
宮ケ瀬ダム,35.542797,139.248125,400,0,0
城山ダム,35.58633,139.28333,400,0,0
相模湖,35.612584,139.184522,1000,0,0
上野動物園,35.716454,139.771318,800,0,0
巣鴨駅,35.733413,139.739289,800,0,0
鎌倉,35.318925,139.550406,800,0,0
武道館,35.693318,139.749885,600,0,0
吉祥寺駅,35.703171,139.57981,800,0,0
秋葉原駅,35.698353,139.773114,600,0,0
川崎大師,35.534672,139.729384,800,0,0
茗荷谷駅,35.717373,139.73678,400,0,0
国立競技場駅,35.679746,139.714389,400,0,0
明治神宮,35.676389,139.699208,600,0,0
秋葉原駅,35.698353,139.773114,600,0,0
品川駅,35.62841,139.738878,600,0,0
都庁,35.689595,139.692131,600,0,0
函館市街,41.773293,140.727667,2000,0,0
札幌駅,43.068661,141.350755,1000,0,0
恐山,41.32734,141.091068,4000,0,0
秋田市中心,39.719922,140.10357,4000,0,0
山形市中心,38.255439,140.339602,4000,0,0
仙台市中心,38.258475,140.87705,4000,0,0
猪苗代湖,37.482578,140.096016,8000,0,0
那須塩原,36.96096,140.047729,4000,0,0
茨城中心,36.341811,140.446794,4000,0,0
富岡製紙場,36.255121,138.887428,600,0,0
宇都宮駅,36.559023,139.898451,2000,0,0
魚沼市中心,37.244124,138.924361,5000,0,0
上越国際スキー場,37.032215,138.821362,2000,0,0
長野県上田市中心,36.404129,138.244132,600,0,0
山梨市中心,35.599629,138.517272,3000,0,0
富士山,35.360556,138.727778,10000,0,0
浜松市中心,34.710834,137.726126,3000,0,0
名古屋市中心,35.181446,136.906398,3000,0,0
鈴鹿サーキット,34.845594,136.538952,5000,0,0
伊勢神宮,34.45501,136.725793,5000,0,0
下呂,35.805345,137.239778,3000,0,0
琵琶湖,35.345639,136.170901,25000,0,0
金沢市中心,36.561325,136.656205,3000,0,0
東大寺,34.688985,135.839816,1000,0,0
奈良公園,34.685047,135.843012,1000,0,0
清水寺,34.994856,135.785046,2000,0,0
京都市中心,35.011636,135.768029,2000,0,0
大阪府中心部,34.681261,135.509801,2000,0,0
大阪城,34.687333,135.525956,1500,0,0
USJ,34.665442,135.432338,1500,0,0
アドベンチャーワールド,33.667882,135.375845,1000,0,0
神戸駅,34.679767,135.177938,1000,0,0
六甲山,34.777858,135.263726,5000,0,0
姫路城,34.839449,134.693905,1000,0,0
広島駅,34.39779,132.47534,3000,0,0
出雲市中心,35.364385,132.756133,5000,0,0
鳥取砂丘,35.540723,134.229071,3000,0,0
下関中心,33.957831,130.941459,5000,0,0
鳴門海峡,34.241822,134.651269,2000,0,0
淡路島中心,34.325712,134.813111,5000,0,0
高松市役所,34.342753,134.046444,5000,0,0
愛媛県中心,33.841624,132.765681,5000,0,0
博多駅,33.589728,130.420727,3000,0,0
熊本城,32.806186,130.705834,1000,0,0
宮崎市中心,31.907674,131.420241,5000,0,0
鹿児島市中心,31.596554,130.557116,5000,0,0
長崎市中心,32.750286,129.877667,3000,0,0
出島,32.742196,129.872918,600,0,0
ホンダカーズ東京中央,35.647917,139.755639,400,0,800
ホンダカーズ東京中央,35.733944,139.756111,400,0,800
ホンダカーズ東京中央,35.763361,139.737139,400,0,800
ホンダカーズ東京中央,35.776611,139.838333,400,0,800
ホンダカーズ東京中央,35.771889,139.824917,400,0,800
