,,,,,,,,,,,,,,,,親密度,,利用日数,,利用回数,,,日付,,初度登録年月からの経過日数,,,,,,時間(時),,,,,,エンジン回転数,,外気温,,ガソリン残量,,航続可能距離,,車速(km),,アクセル開度,,,ブースト圧,,,,,,,,S MATICシフト段,,,,ステアリング舵角,,縦G,,横G,,ヨーレート,,ブレーキ圧,,,エンジン水温,,,,平均燃費A,,走行距離,
No,アクション名,前回アクション名,準備アクション名,発生待機時間(ms),セリフ,優先度,発生率(％),割り込み,発話間隔(ms),発話休止間隔(ms),アクション発話回数制限,ルール発話回数制限,連続発話許可,セッション終了,親密度プラス値,下限値,上限値,下限値,上限値,下限値,上限値,初回登録,開始日,終了日,開始日数(日後),発生期間(日間),セリフ音声ファイル,BGM音声ファイル,画像ファイル,無音時間(ms),下限値,上限値,曜日,都道府県,天気,IG1電源,下限値,上限値,下限値,上限値,下限値,上限値,下限値,上限値,下限値,上限値,下限値,上限値,ハザード,下限値,上限値,HLスイッチ SMALL,HLスイッチ LOW,HLスイッチ HIGH,HLスイッチ PASS,CVT SHIFT R,CVT SHIFT P,下限値,上限値,ターンシグナルR,ターンシグナルL,下限値,上限値,下限値,上限値,下限値,上限値,下限値,上限値,下限値,上限値,バックライト,下限値,上限値,VSA作動中,ABS作動中,下限値,上限値,下限値,上限値
1,エンジン始動１,,,,こんにちは。初音ミクです。今日も安全運転で行きましょう！,10,100,,,2000,1,,,,,,,,,,,,,,,,MIK00010.mp4,,MIK0001.jpg,,12:00,14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,エンジン始動１,,,,初音ミクだよ。これからのドライブ楽しみだね！,10,100,,,2000,1,,,,,,,,,,,,,,,,MIK00020.mp4,,MIK0001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,エンジン始動１,,,,初音ミクがお供させて頂きます！,10,100,,,2000,1,,,,,,,,,,,,,,,,MIK00580.mp4,,MIK0001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,エンジン始動１,,,,おはようございます。初音ミクです。,10,100,,,2000,1,,,,,,,,,,,,,,,,MIK00590.mp4,,MIK0001.jpg,,6:00,9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,エンジン始動１,,,,こんばんは。初音ミクです。夜のドライブ楽しみー！,10,100,,,2000,1,,,,,,,,,,,,,,,,MIK00600.mp4,,MIK0001.jpg,,18:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,エンジン始動２,エンジン始動１,,,今日の天気は「晴れ」です,10,100,,,2000,1,,,,,,,,,,,,,,,,MIK00620.mp4,,MIK0001.jpg,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,エンジン始動２,エンジン始動１,,,今日の天気は「晴れ」です,10,100,,,2000,1,,,,,,,,,,,,,,,,MIK00620.mp4,,MIK0001.jpg,,,,,,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,エンジン始動２,エンジン始動１,,,今日の天気は「晴れ」です,10,100,,,2000,1,,,,,,,,,,,,,,,,MIK00620.mp4,,MIK0001.jpg,,,,,,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,エンジン始動２,エンジン始動１,,,今日もいい天気だね,10,100,,,2000,1,,,,,,,,,,,,,,,,MIK10670.mp4,,MIK0001.jpg,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,エンジン始動２,エンジン始動１,,,今日もいい天気だね,10,100,,,2000,1,,,,,,,,,,,,,,,,MIK10670.mp4,,MIK0001.jpg,,,,,,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
